,KCH,KCM,SKJS,XF,XS
849,PHYS281809,大学物理实验I-1,卢学刚,1.0,32.0
850,PHYS281809,大学物理实验I-1,张伟,1.0,32.0
851,PHYS281809,大学物理实验I-1,毛胜春,1.0,32.0
852,PHYS281809,大学物理实验I-1,张国宾,1.0,32.0
853,PHYS281809,大学物理实验I-1,王鹤,1.0,32.0
854,ENPO529303,能源科学技术前沿讲座,"严俊杰,苏光辉,席光,何雅玲,黄佐华,邢子文,厉彦忠,陶文铨",1.0,16.0
855,ENPO341303,热能与动力测试技术,"邓清华,王珍珍,徐彤彤,王桂芳,刘齐寿",2.5,52.0
856,POLI103014,形策2025春（专题十二：新一轮科技革命的趋势与影响）岳潇,岳潇,0.0,2.0
857,ARCH402531,建筑设计-2,戴靓华,4.0,96.0
858,ARCH402531,建筑设计-2,陈敬,4.0,96.0
859,ARCH402531,建筑设计-2,贾建东,4.0,96.0
860,ARCH402531,建筑设计-2,何静,4.0,96.0
861,ARCH402531,建筑设计-2,徐钰彬,4.0,96.0
862,ARCH402531,建筑设计-2,雷耀丽,4.0,96.0
863,ARCH402531,建筑设计-2,崔陇鹏,4.0,96.0
864,BIME411813,生物医学传感与仪器专题实验,"李津,张博,吴敏",1.0,32.0
865,BIOL310913,遗传学Genetics,"闫菡,杨铁林,郭燕",3.5,56.0
866,ARTS312910,中国古代文字学通论,刘琰,2.0,32.0
867,ARCH400931,建筑设计-4,,6.0,112.0
868,INDE900231,设计实践-2,"杨眉,ValentinaRognoli",2.0,64.0
869,ENGL202412,英语电影视听说,马琼,2.0,32.0
870,ENGL202412,英语电影视听说,马琼,2.0,32.0
871,ENGL202412,英语电影视听说,潘一,2.0,32.0
872,ENGL202412,英语电影视听说,闫秀荣,2.0,32.0
873,ENGL202412,英语电影视听说,闫秀荣,2.0,32.0
874,ENGL202412,英语电影视听说,闫秀荣,2.0,32.0
875,ENGL202412,英语电影视听说,闫秀荣,2.0,32.0
876,ENGL205212,国际人才英语,牛江,2.0,32.0
877,ENGL205212,国际人才英语,牛江,2.0,32.0
878,ENGL205212,国际人才英语,李瑞,2.0,32.0
879,ENGL205212,国际人才英语,李瑞,2.0,32.0
880,ARCH400931,建筑设计-4,贾建东,6.0,112.0
881,ARCH400931,建筑设计-4,王少锐,6.0,112.0
882,ARCH400931,建筑设计-4,王欣,6.0,112.0
883,ARCH400931,建筑设计-4,翟斌庆,6.0,112.0
884,INDE900731,设计实践-5,"PatriziaBolzan,张煜",2.0,64.0
885,INDE900731,设计实践-5,PatriziaBolzan,2.0,64.0
886,INDE900231,设计实践-2,ValentinaRognoli,2.0,64.0
887,ARCH400931,建筑设计-4,王兵,6.0,112.0
888,ARCH400931,建筑设计-4,王毛真,6.0,112.0
889,ENGL203912,TED英语视听说I,李瑛,2.0,32.0
890,ENGL204012,TED 英语视听说II,孙长虹,2.0,32.0
891,ENGL204012,TED 英语视听说II,孙长虹,2.0,32.0
892,ENGL203312,中国文化翻译,焦晓凌,2.0,32.0
893,ENGL203312,中国文化翻译,许明,2.0,32.0
894,ENGL203312,中国文化翻译,赵晓英,2.0,32.0
895,ENGL203312,中国文化翻译,靳蓉,2.0,32.0
896,ENGL203312,中国文化翻译,焦晓凌,2.0,32.0
897,ENGL203312,中国文化翻译,许明,2.0,32.0
898,ENGL203312,中国文化翻译,赵晓英,2.0,32.0
899,ENGL203312,中国文化翻译,焦晓凌,2.0,32.0
900,ENGL203312,中国文化翻译,赵晓英,2.0,32.0
901,ENGL203312,中国文化翻译,焦晓凌,2.0,32.0
902,ENGL203312,中国文化翻译,赵晓英,2.0,32.0
903,ENGL203312,中国文化翻译,杨芳,2.0,32.0
904,ENGL203312,中国文化翻译,王雪梅,2.0,32.0
905,ENGL203312,中国文化翻译,杨芳,2.0,32.0
906,ENGL203312,中国文化翻译,王雪梅,2.0,32.0
907,ARCH400931,建筑设计-4,王琪,6.0,112.0
908,ARCH400931,建筑设计-4,虞春隆,6.0,112.0
909,ARCH400931,建筑设计-4,冯伟,6.0,112.0
910,ENGL204012,TED 英语视听说II,郑青,2.0,32.0
911,ENGL204012,TED 英语视听说II,郑青,2.0,32.0
912,ENGL203112,英语学术论文写作,邵娟,2.0,32.0
913,ENGL203112,英语学术论文写作,葛冬梅,2.0,32.0
914,ENGL203112,英语学术论文写作,阎小强,2.0,32.0
915,ENGL203112,英语学术论文写作,阎小强,2.0,32.0
916,ENGL203112,英语学术论文写作,阎小强,2.0,32.0
917,ENGL203112,英语学术论文写作,马丽娜,2.0,32.0
918,ENGL203112,英语学术论文写作,马丽娜,2.0,32.0
919,ENGL203112,英语学术论文写作,葛冬梅,2.0,32.0
920,ENGL203112,英语学术论文写作,葛冬梅,2.0,32.0
921,ENGL203312,中国文化翻译,杨芳,2.0,32.0
922,ENGL203312,中国文化翻译,王雪梅,2.0,32.0
923,ENGL203312,中国文化翻译,杨芳,2.0,32.0
924,ENGL203312,中国文化翻译,王雪梅,2.0,32.0
925,ENGL203512,英语写作基础,杨亭,2.0,32.0
926,ENGL203512,英语写作基础,杨亭,2.0,32.0
927,ENGL203512,英语写作基础,杨亭,2.0,32.0
928,ENGL203712,沟通与文化交流,许明,2.0,32.0
929,ENGL203712,沟通与文化交流,靳蓉,2.0,32.0
930,ENGL203712,沟通与文化交流,靳蓉,2.0,32.0
931,ENGL204412,新一代大学英语,杜文博,2.0,32.0
932,ENGL204412,新一代大学英语,杜文博,2.0,32.0
933,ENGL203412,阅读与思辨,何宗昌,2.0,32.0
934,ENGL203412,阅读与思辨,曹扬波,2.0,32.0
935,ENGL203412,阅读与思辨,崔延红,2.0,32.0
936,ENGL203412,阅读与思辨,崔延红,2.0,32.0
937,ENGL203412,阅读与思辨,王朝霖,2.0,32.0
938,ENGL203412,阅读与思辨,王朝霖,2.0,32.0
939,ENGL203412,阅读与思辨,何宗昌,2.0,32.0
940,ENGL203412,阅读与思辨,何宗昌,2.0,32.0
941,ENGL205212,国际人才英语,张静洁,2.0,32.0
942,ENGL205212,国际人才英语,张静洁,2.0,32.0
943,ENGL205212,国际人才英语,邹郝晶,2.0,32.0
944,ENGL201512,欧洲文化渊源,邱鹄,2.0,32.0
945,ENGL201512,欧洲文化渊源,张丽娟,2.0,32.0
946,ENGL201512,欧洲文化渊源,张丽娟,2.0,32.0
947,ENGL201512,欧洲文化渊源,卢燕华,2.0,32.0
948,ENGL201512,欧洲文化渊源,卢燕华,2.0,32.0
949,ENGL201512,欧洲文化渊源,冯娟,2.0,32.0
950,ENGL201512,欧洲文化渊源,冯娟,2.0,32.0
951,ENGL201512,欧洲文化渊源,邱鹄,2.0,32.0
952,ENGL201512,欧洲文化渊源,邱鹄,2.0,32.0
953,ENGL201512,欧洲文化渊源,卢燕华,2.0,32.0
954,ENGL201512,欧洲文化渊源,卢燕华,2.0,32.0
955,ENGL201512,欧洲文化渊源,邱鹄,2.0,32.0
956,ENGL201512,欧洲文化渊源,邱鹄,2.0,32.0
957,ENGL201512,欧洲文化渊源,蔡宁,2.0,32.0
958,ENGL201512,欧洲文化渊源,蔡宁,2.0,32.0
959,ENGL201512,欧洲文化渊源,蔡宁,2.0,32.0
960,ENGL201512,欧洲文化渊源,蔡宁,2.0,32.0
961,ENGL201512,欧洲文化渊源,庞云青,2.0,32.0
962,ENGL201512,欧洲文化渊源,庞云青,2.0,32.0
963,ENGL201512,欧洲文化渊源,庞云青,2.0,32.0
964,ENGL201512,欧洲文化渊源,庞云青,2.0,32.0
965,ENGL201512,欧洲文化渊源,蔡宁,2.0,32.0
966,ENGL201512,欧洲文化渊源,蔡宁,2.0,32.0
967,ENGL202112,商务英语,陈丽,2.0,32.0
968,ENGL202112,商务英语,陈丽,2.0,32.0
969,ENGL202112,商务英语,陈丽,2.0,32.0
970,ENGL205212,国际人才英语,牛江,2.0,32.0
971,ENGL205212,国际人才英语,牛江,2.0,32.0
972,ENGL205212,国际人才英语,牛江,2.0,32.0
973,ENGL205212,国际人才英语,牛江,2.0,32.0
974,ENGL203812,雅思口语,曹兴潭,2.0,32.0
975,ENGL203812,雅思口语,田鹏,2.0,32.0
976,ENGL203812,雅思口语,田鹏,2.0,32.0
977,ENGL203612,雅思写作,杨扬,2.0,32.0
978,ENGL203612,雅思写作,杨扬,2.0,32.0
979,ENGL203612,雅思写作,范璐,2.0,32.0
980,ENGL203612,雅思写作,范璐,2.0,32.0
981,ENGL203612,雅思写作,王东,2.0,32.0
982,ENGL203612,雅思写作,王东,2.0,32.0
983,ENGL203712,沟通与文化交流,许颖,2.0,32.0
984,ENGL203712,沟通与文化交流,许颖,2.0,32.0
985,ENGL202412,英语电影视听说,马琼,2.0,32.0
986,ENGL202412,英语电影视听说,马琼,2.0,32.0
987,ENGL202412,英语电影视听说,潘一,2.0,32.0
988,ENGL202412,英语电影视听说,潘一,2.0,32.0
989,ENGL201912,美国文化,司选海,2.0,32.0
990,ENGL201912,美国文化,司选海,2.0,32.0
991,ENGL201912,美国文化,司选海,2.0,32.0
992,ENGL201912,美国文化,王丽娟,2.0,32.0
993,ENGL201912,美国文化,王丽娟,2.0,32.0
994,ENGL201912,美国文化,尹转云,2.0,32.0
995,ENGL201912,美国文化,尹转云,2.0,32.0
996,ENGL201912,美国文化,尹转云,2.0,32.0
997,ENGL201912,美国文化,尹转云,2.0,32.0
998,ENGL201912,美国文化,刘琳,2.0,32.0
999,ENGL201912,美国文化,刘琳,2.0,32.0
1000,ENGL201912,美国文化,王丽娟,2.0,32.0
1001,ENGL201912,美国文化,王丽娟,2.0,32.0
1002,ENGL201912,美国文化,赵亚军,2.0,32.0
1003,ENGL201912,美国文化,赵亚军,2.0,32.0
1004,ENGL201912,美国文化,刘琳,2.0,32.0
1005,ENGL201912,美国文化,刘琳,2.0,32.0
1006,ENGL202312,英语辩论,邹郝晶,2.0,32.0
1007,ENGL202312,英语辩论,李瑞,2.0,32.0
1008,ENGL202312,英语辩论,李瑞,2.0,32.0
1009,ENGL203812,雅思口语,田鹏,2.0,32.0
1010,ENGL203812,雅思口语,田鹏,2.0,32.0
1011,ENGL203812,雅思口语,JAKONIA GIORGI,2.0,32.0
1012,ENGL203812,雅思口语,JAKONIA GIORGI,2.0,32.0
1013,ENGL203812,雅思口语,JAKONIA GIORGI,2.0,32.0
1014,ENGL203812,雅思口语,杨扬,2.0,32.0
1015,ENGL203812,雅思口语,杨扬,2.0,32.0
1016,ENGL203812,雅思口语,何惠勤,2.0,32.0
1017,ENGL203812,雅思口语,钱希,2.0,32.0
1018,ENGL203812,雅思口语,何惠勤,2.0,32.0
1019,ENGL203812,雅思口语,钱希,2.0,32.0
1020,ENGL203812,雅思口语,JAKONIA GIORGI,2.0,32.0
1021,ENGL203812,雅思口语,JAKONIA GIORGI,2.0,32.0
1022,ENGL203812,雅思口语,何惠勤,2.0,32.0
1023,ENGL203812,雅思口语,何惠勤,2.0,32.0
1024,ENGL203412,阅读与思辨,何宗昌,2.0,32.0
1025,ENGL203412,阅读与思辨,王朝霖,2.0,32.0
1026,ENGL203412,阅读与思辨,沙云翔,2.0,32.0
1027,ENGL203412,阅读与思辨,沙云翔,2.0,32.0
1028,ENGL203912,TED英语视听说I,李瑛,2.0,32.0
1029,ENGL203912,TED英语视听说I,李瑛,2.0,32.0
1030,ENGL204012,TED 英语视听说II,郑青,2.0,32.0
1031,ENGL204012,TED 英语视听说II,朱立芸,2.0,32.0
1032,ENGL204012,TED 英语视听说II,孙长虹,2.0,32.0
1033,ENGL204012,TED 英语视听说II,朱立芸,2.0,32.0
1034,ENGL204012,TED 英语视听说II,许梅,2.0,32.0
1035,ENGL204012,TED 英语视听说II,朱立芸,2.0,32.0
1036,ENGL204012,TED 英语视听说II,许梅,2.0,32.0
1037,ENGL204012,TED 英语视听说II,孙长虹,2.0,32.0
1038,ENGL204012,TED 英语视听说II,朱立芸,2.0,32.0
1039,ENGL204012,TED 英语视听说II,卫朝霞,2.0,32.0
1040,ENGL204012,TED 英语视听说II,卫朝霞,2.0,32.0
1041,ENGL204012,TED 英语视听说II,卫朝霞,2.0,32.0
1042,ENGL204012,TED 英语视听说II,卫朝霞,2.0,32.0
1043,ENGL203412,阅读与思辨,王朝霖,2.0,32.0
1044,ENGL203412,阅读与思辨,孙燕,2.0,32.0
1045,ENGL203412,阅读与思辨,孙燕,2.0,32.0
1046,ENGL203412,阅读与思辨,黑玉芬,2.0,32.0
1047,ENGL203412,阅读与思辨,曹扬波,2.0,32.0
1048,ENGL203412,阅读与思辨,孙燕,2.0,32.0
1049,ENGL203412,阅读与思辨,黑玉芬,2.0,32.0
1050,ENGL203412,阅读与思辨,曹扬波,2.0,32.0
1051,ENGL203412,阅读与思辨,崔延红,2.0,32.0
1052,ENGL203412,阅读与思辨,黑玉芬,2.0,32.0
1053,ENGL203112,英语学术论文写作,邵娟,2.0,32.0
1054,ENGL203112,英语学术论文写作,葛冬梅,2.0,32.0
1055,ENGL203112,英语学术论文写作,马丽娜,2.0,32.0
1056,ENGL203112,英语学术论文写作,马丽娜,2.0,32.0
1057,ENGL203112,英语学术论文写作,阎小强,2.0,32.0
1058,ENGL201512,欧洲文化渊源,张丽娟,2.0,32.0
1059,ENGL201512,欧洲文化渊源,张丽娟,2.0,32.0
1060,ENGL204612,医学英语术语,张鹏,2.0,32.0
1061,ENGL204612,医学英语术语,张鹏,2.0,32.0
1062,ENGL204612,医学英语术语,张鹏,2.0,32.0
1063,ENGL204612,医学英语术语,黄奕,2.0,32.0
1064,ENGL204612,医学英语术语,黄奕,2.0,32.0
1065,ENGL204612,医学英语术语,冯娟,2.0,32.0
1066,ENGL204612,医学英语术语,冯娟,2.0,32.0
1067,ENGL204612,医学英语术语,冯娟,2.0,32.0
1068,ENGL204612,医学英语术语,冯娟,2.0,32.0
1069,ENGL204612,医学英语术语,詹菊红,2.0,32.0
1070,ENGL204612,医学英语术语,詹菊红,2.0,32.0
1071,ENGL204612,医学英语术语,詹菊红,2.0,32.0
1072,ENGL204612,医学英语术语,詹菊红,2.0,32.0
1073,ENGL204612,医学英语术语,晏国莉,2.0,32.0
1074,ENGL204612,医学英语术语,晏国莉,2.0,32.0
1075,ENGL204612,医学英语术语,晏国莉,2.0,32.0
1076,ENGL204612,医学英语术语,晏国莉,2.0,32.0
1077,ENGL204612,医学英语术语,彭凤玲,2.0,32.0
1078,ENGL204612,医学英语术语,彭凤玲,2.0,32.0
1079,ENGL204612,医学英语术语,董艳云,2.0,32.0
1080,ENGL204612,医学英语术语,张鹏,2.0,32.0
1081,ENGL204612,医学英语术语,张鹏,2.0,32.0
1082,ENGL204612,医学英语术语,黄奕,2.0,32.0
1083,ENGL204612,医学英语术语,黄奕,2.0,32.0
1084,PHLS506010,政治哲学导论,付侗,2.0,32.0
1085,LITE532310,学年论文,翁少妙,1.0,16.0
1086,JAPN111012,日语基础,"沈丽芳,张文丽",2.0,32.0
1087,FINA340419,经济大数据分析,"李淑彪,王莹,董志龙,周博",2.5,48.0
1088,CHEM250809,物理化学Ⅲ,"李骁勇,吴勇",5.5,112.0
1089,JZSJ902848,妇产科生产实习Ⅰ,周戬平,6.0,240.0
1090,ARTS109410,音乐,"曹耿献,文茹,刘俊峰",2.0,32.0
1091,MATH294307,高等数学I-2,郭振宇,6.5,110.0
1092,JZSJ900348,临床药学专题实习,"张抗怀,封卫毅",10.0,400.0
1093,MILI100554,国防教育,"张昊,初阔林,李科",2.0,32.0
1094,JZSJ900422,创新创业实践II,王志华,3.0,120.0
1095,SOFT500327,算法设计与分析,郑帅,2.5,40.0
1096,JZSJ900622,创新创业实践IV,崔鑫,1.0,40.0
1097,JZSJ301022,设计实践2,雷耀丽,0.5,16.0
1098,CORE100610,中国传统文化,"陆卫明,鲁鹏,王劲,宋希斌,邓妙子,韩鹏杰,李娟",2.0,32.0
1099,ECND411819,博弈论,闫大卫,3.0,48.0
1100,ECND411919,行为经济学,张蕾,2.0,32.0
1101,ECND411419,公司理财,张成毅,3.0,48.0
1102,ENGL201912,美国文化,赵亚军,2.0,32.0
1103,ENGL201912,美国文化,赵亚军,2.0,32.0
1104,ENGL203712,沟通与文化交流,许颖,2.0,32.0
1105,ENGL203712,沟通与文化交流,许颖,2.0,32.0
1106,ENGL204012,TED 英语视听说II,许梅,2.0,32.0
1107,LITE305621,综合医学汉语6,马萍,4.0,64.0
1108,MLMD196614,马克思主义基本原理,刘婧鸣,3.0,48.0
1109,JZSJ901704,科创能力与竞赛训练,"刘文凤,迟晓红,沈瑶,张璞,刘宁艳,白洁,孙晓华,高昕悦,吕泽鹏,原晓楠,李瑞程,孙丽琼,王超,孙敏,吕亮,杜锦华,陈欣,孟永鹏,贺博,刘定新,骆一萍,张皎",1.0,32.0
1110,ENPO420903,压缩机原理与结构,"彭学院,郭蓓,宋昱龙,王雷雷",3.0,52.0
1111,CHEM341909,物理化学实验-1,岳岭,1.0,32.0
1112,CIVL420922,土木工程施工,"岳焱超,高云,罗冬",2.0,32.0
1113,ENGL410712,英语语法,"陈向京,张蕾",2.0,32.0
1114,NUCL420703,核反应堆物理分析,"曹良志,祖铁军",2.5,40.0
1115,INDE400127,人工智能导论（米理）,"李垚辰,魏星,刘帅,徐亦飞",2.0,40.0
1116,ECND411619,市场营销,张慧芳,2.0,32.0
1117,ENGL207212,理解当代中国：英语读写,高洋,2.0,32.0
1118,ECND411319,微观经济学,李华清,3.0,48.0
1119,CHEM301129,无机化学实验Ⅰ-2,胡敏,2.0,64.0
1120,ECND411019,人力资源管理,赵志平,2.0,32.0
1121,CENG322316,化工安全与环保,"胡准,黄正清,郭坤,卢柄璋,李贺",2.0,32.0
1122,PHED109150,体育-2,任文君,0.5,32.0
1123,PHED109150,体育-2,"任文君,万菲",0.5,32.0
1124,PHED109150,体育-2,严春辉,0.5,32.0
1125,PHED109350,体育-4,严春辉,0.5,32.0
1126,PHED109350,体育-4,董亚光,0.5,32.0
1127,PHED109350,体育-4,裴永杰,0.5,32.0
1128,PHED109350,体育-4,裴永杰,0.5,32.0
1129,PHED109350,体育-4,陈龙伟,0.5,32.0
1130,PHED109350,体育-4,张斌南,0.5,32.0
1131,PHED109350,体育-4,刘丽萍,0.5,32.0
1132,PHED109350,体育-4,刘丽萍,0.5,32.0
1133,PHED109350,体育-4,刘丽萍,0.5,32.0
1134,PHED109350,体育-4,党笛洋,0.5,32.0
1135,PHED109350,体育-4,穆若颖,0.5,32.0
1136,PHED109350,体育-4,杨光,0.5,32.0
1137,PHED109350,体育-4,弥军民,0.5,32.0
1138,PHED109350,体育-4,李宝成,0.5,32.0
1139,PHED109350,体育-4,"刘迅雷,李楠",0.5,32.0
1140,PHED109150,体育-2,邱宏军,0.5,32.0
1141,PHED109150,体育-2,张秋君,0.5,32.0
1142,PHED109150,体育-2,李飞,0.5,32.0
1143,PHED109150,体育-2,李飞,0.5,32.0
1144,PHED109150,体育-2,张斌南,0.5,32.0
1145,PHED109150,体育-2,穆若颖,0.5,32.0
1146,PHED109150,体育-2,刘超洋,0.5,32.0
1147,PHED109150,体育-2,张慧雯,0.5,32.0
1148,PHED109150,体育-2,张慧雯,0.5,32.0
1149,PHED109150,体育-2,杨光,0.5,32.0
1150,PHED109150,体育-2,杨光,0.5,32.0
1151,PHED109150,体育-2,杨光,0.5,32.0
1152,PHED109150,体育-2,杨光,0.5,32.0
1153,PHED109150,体育-2,杨光,0.5,32.0
1154,PHED109150,体育-2,杨光,0.5,32.0
1155,PHED109150,体育-2,张中江,0.5,32.0
1156,PHED109150,体育-2,张军,0.5,32.0
1157,PHED109150,体育-2,彭习涛,0.5,32.0
1158,PHED109150,体育-2,宇文展,0.5,32.0
1159,PHED109150,体育-2,宇文展,0.5,32.0
1160,PHED109150,体育-2,李靖,0.5,32.0
1161,PHED109350,体育-4,"徐川傲,张宇琨",0.5,32.0
1162,PHED109350,体育-4,尚尧,0.5,32.0
1163,PHED109350,体育-4,胡良楠,0.5,32.0
1164,PHED109350,体育-4,"刘长江,郭晨",0.5,32.0
1165,PHED109350,体育-4,胡良楠,0.5,32.0
1166,PHED109350,体育-4,彭麟凯,0.5,32.0
1167,PHED109350,体育-4,宋雷,0.5,32.0
1168,PHED109350,体育-4,冯申阳,0.5,32.0
1169,PHED109350,体育-4,王云冰,0.5,32.0
1170,PHED109350,体育-4,王云冰,0.5,32.0
1171,PHED109350,体育-4,王云冰,0.5,32.0
1172,PHED109350,体育-4,胡浩,0.5,32.0
1173,PHED109350,体育-4,胡浩,0.5,32.0
1174,PHED109350,体育-4,闫宽,0.5,32.0
1175,PHED109350,体育-4,王泰朗,0.5,32.0
1176,PHED109350,体育-4,陈龙伟,0.5,32.0
1177,PHED109350,体育-4,姚明霞,0.5,32.0
1178,PHED109350,体育-4,刘丽萍,0.5,32.0
1179,PHED109350,体育-4,杨光,0.5,32.0
1180,PHED109350,体育-4,张慧雯,0.5,32.0
1181,PHED109350,体育-4,张慧雯,0.5,32.0
1182,PHED109350,体育-4,张慧雯,0.5,32.0
1183,PHED109350,体育-4,张慧雯,0.5,32.0
1184,PHED109150,体育-2,王小春,0.5,32.0
1185,PHED109150,体育-2,陈龙伟,0.5,32.0
1186,PHED109150,体育-2,陈善平,0.5,32.0
1187,PHED109150,体育-2,杨光,0.5,32.0
1188,PHED109150,体育-2,张丽萍,0.5,32.0
1189,PHED109150,体育-2,任文君,0.5,32.0
1190,PHED109150,体育-2,彭习涛,0.5,32.0
1191,PHED109350,体育-4,张中江,0.5,32.0
1192,PHED109350,体育-4,张中江,0.5,32.0
1193,PHED109350,体育-4,张中江,0.5,32.0
1194,PHED109350,体育-4,张中江,0.5,32.0
1195,PHED109350,体育-4,张军,0.5,32.0
1196,PHED109350,体育-4,牛潇锋,0.5,32.0
1197,PHED900150,长跑,韩骥磊,0.0,16.0
1198,PHED900150,长跑,韩骥磊,0.0,16.0
1199,PHED109150,体育-2,谢招福,0.5,32.0
1200,PHED109150,体育-2,谢招福,0.5,32.0
1201,PHED109150,体育-2,何昌珂,0.5,32.0
1202,PHED109150,体育-2,何昌珂,0.5,32.0
1203,PHED109150,体育-2,王保金,0.5,32.0
1204,PHED109150,体育-2,闫宽,0.5,32.0
1205,PHED109350,体育-4,谢招福,0.5,32.0
1206,PHED109350,体育-4,宋雷,0.5,32.0
1207,PHED900150,长跑,李飞,0.0,16.0
1208,PHED900150,长跑,李飞,0.0,16.0
1209,PHED109350,体育-4,冯申阳,0.5,32.0
1210,PHED109350,体育-4,"王云冰,赵家庆",0.5,32.0
1211,PHED109350,体育-4,"王云冰,赵家庆",0.5,32.0
1212,PHED109350,体育-4,李飞,0.5,32.0
1213,PHED109350,体育-4,刘丽萍,0.5,32.0
1214,PHED109150,体育-2,张中江,0.5,32.0
1215,PHED109350,体育-4,"任文君,张宇琨",0.5,32.0
1216,PHED109350,体育-4,李云镔,0.5,32.0
1217,PHED109150,体育-2,宇文展,0.5,32.0
1218,PHED109350,体育-4,牛潇锋,0.5,32.0
1219,PHED900150,长跑,李靖,0.0,16.0
1220,PHED109350,体育-4,徐川傲,0.5,32.0
1221,PHED109350,体育-4,徐川傲,0.5,32.0
1222,PHED900150,长跑,张蕾,0.0,16.0
1223,PHED109350,体育-4,东岳,0.5,32.0
1224,PHED109350,体育-4,何黛,0.5,32.0
1225,PHED109350,体育-4,黄霞,0.5,32.0
1226,PHED109350,体育-4,黄霞,0.5,32.0
1227,PHYS281809,大学物理实验I-1,杨玉,1.0,32.0
1228,PHYS281809,大学物理实验I-1,周仁武,1.0,32.0
1229,PHYS281809,大学物理实验I-1,王鹤,1.0,32.0
1230,PHYS281809,大学物理实验I-1,周仁武,1.0,32.0
1231,PHYS281809,大学物理实验I-1,杨玉,1.0,32.0
1232,PHED109150,体育-2,胡浩,0.5,32.0
1233,PHED109350,体育-4,高丹娜,0.5,32.0
1234,PHED109350,体育-4,高丹娜,0.5,32.0
1235,PHED109350,体育-4,高丹娜,0.5,32.0
1236,PHED109350,体育-4,张蕾,0.5,32.0
1237,PHED109350,体育-4,邱宏军,0.5,32.0
1238,PHED109350,体育-4,陈龙伟,0.5,32.0
1239,PHED109350,体育-4,王真,0.5,32.0
1240,PHED109350,体育-4,洪流,0.5,32.0
1241,PHED109350,体育-4,"牛龙,陈龙伟",0.5,32.0
1242,PHED109350,体育-4,姚明霞,0.5,32.0
1243,PHED109350,体育-4,姚明霞,0.5,32.0
1244,PHED109350,体育-4,张慧雯,0.5,32.0
1245,PHED109350,体育-4,张慧雯,0.5,32.0
1246,PHED109350,体育-4,弥军民,0.5,32.0
1247,PHED109350,体育-4,弥军民,0.5,32.0
1248,PHED109350,体育-4,弥军民,0.5,32.0
1249,PHED109350,体育-4,李宝成,0.5,32.0
1250,PHED109350,体育-4,"李楠,弥军民",0.5,32.0
1251,PHED109150,体育-2,张晟,0.5,32.0
1252,PHED109150,体育-2,"刘志强,贺博洋",0.5,32.0
1253,PHED109150,体育-2,王真,0.5,32.0
1254,PHED109150,体育-2,李飞,0.5,32.0
1255,PHED109150,体育-2,姚明霞,0.5,32.0
1256,PHED109150,体育-2,闫宽,0.5,32.0
1257,PHED109150,体育-2,汪一鸣,0.5,32.0
1258,PHED109150,体育-2,汪一鸣,0.5,32.0
1259,PHED109150,体育-2,彭习涛,0.5,32.0
1260,PHED109150,体育-2,彭习涛,0.5,32.0
1261,PHED109150,体育-2,彭习涛,0.5,32.0
1262,PHED109150,体育-2,彭习涛,0.5,32.0
1263,PHED109150,体育-2,石磊,0.5,32.0
1264,PHED109150,体育-2,石磊,0.5,32.0
1265,PHED109150,体育-2,石磊,0.5,32.0
1266,PHED109150,体育-2,石磊,0.5,32.0
1267,PHED109150,体育-2,李云镔,0.5,32.0
1268,PHED109150,体育-2,李云镔,0.5,32.0
1269,PHED109350,体育-4,张军,0.5,32.0
1270,PHED900150,长跑,穆若颖,0.0,16.0
1271,PHED109150,体育-2,龚建亭,0.5,32.0
1272,PHED109150,体育-2,龚建亭,0.5,32.0
1273,PHED109350,体育-4,彭习涛,0.5,32.0
1274,PHED109150,体育-2,韩骥磊,0.5,32.0
1275,PHED109150,体育-2,韩骥磊,0.5,32.0
1276,PHED109150,体育-2,韩骥磊,0.5,32.0
1277,PHED109150,体育-2,韩骥磊,0.5,32.0
1278,PHED900150,长跑,"何黛,万菲",0.0,16.0
1279,PHED109350,体育-4,牛潇锋,0.5,32.0
1280,PHED109350,体育-4,"徐川傲,张宇琨",0.5,32.0
1281,PHED109150,体育-2,胡良楠,0.5,32.0
1282,PHED109150,体育-2,胡良楠,0.5,32.0
1283,PHED109150,体育-2,胡良楠,0.5,32.0
1284,PHED109150,体育-2,彭麟凯,0.5,32.0
1285,PHED109350,体育-4,宇文展,0.5,32.0
1286,PHED109150,体育-2,李云镔,0.5,32.0
1287,PHED109150,体育-2,李云镔,0.5,32.0
1288,PHED109350,体育-4,张中江,0.5,32.0
1289,PHED109350,体育-4,张中江,0.5,32.0
1290,PHED109350,体育-4,石磊,0.5,32.0
1291,PHED109150,体育-2,龚建亭,0.5,32.0
1292,PHED109150,体育-2,"龚建亭,黄诗贻",0.5,32.0
1293,PHED109150,体育-2,"龚建亭,黄诗贻",0.5,32.0
1294,PHED109150,体育-2,"龚建亭,黄诗贻",0.5,32.0
1295,PHED109150,体育-2,李靖,0.5,32.0
1296,PHED900150,长跑,牛潇锋,0.0,16.0
1297,PHED900150,长跑,牛潇锋,0.0,16.0
1298,PHED109150,体育-2,东岳,0.5,32.0
1299,PHED109150,体育-2,东岳,0.5,32.0
1300,PHED109150,体育-2,东岳,0.5,32.0
1301,PHED109150,体育-2,东岳,0.5,32.0
1302,PHED109150,体育-2,胡良楠,0.5,32.0
1303,PHED900150,长跑,肖坤鹏,0.0,16.0
1304,PHED900150,长跑,肖坤鹏,0.0,16.0
