,S#,C#,GRADE
3388,04028067,MR-04,81.7
3389,02024393,SO-01,
3390,03081604,IF-03,73.6
3391,09060745,NC-11,69.4
3392,03081604,MT-28,84.3
3393,03029810,AC-03,74.5
3394,07046753,RS-02,66.9
3395,06025682,PY-49,70.9
3396,01037434,BO-17,72.7
3397,03059404,MG-01,56.2
3398,02030084,JS-28,55.7
3399,05047495,EG-03,62.8
3400,06011024,BO-17,84.9
3401,08089628,MC-09,92.7
3402,06031626,CN-05,82.7
3403,04016989,AT-31,69.7
3404,04059980,PY-25,76.4
3405,07086528,EL-02,62.3
3406,08066984,AT-22,82.6
3407,05043293,AT-36,
3408,03086288,AS-40,75.4
3409,08063228,AC-03,65.5
3410,06024200,PY-38,
3411,08046693,PY-49,
3412,04039454,CS-11,71.6
3413,05051413,MR-04,81.3
3414,06071819,CN-05,
3415,01047459,AC-03,60.7
3416,06083736,CE-03,
3417,09052483,MG-81,57.3
3418,06057100,MC-18,76.6
3419,05047633,SO-55,97.4
3420,08050314,IS-01,80.1
3421,03094075,MG-01,72.9
3422,02077226,IF-01,
3423,02039248,LW-32,73.5
3424,08049761,MM-66,81.0
3425,06061345,CE-19,81.2
3426,02029944,MM-93,75.1
3427,05015898,MM-93,87.2
3428,04073388,EL-02,57.9
3429,02029944,FR-05,69.9
3430,02066535,ER-01,74.8
3431,06035676,MT-21,74.3
3432,04060585,EE-29,70.3
3433,04097463,IS-14,69.7
3434,04039143,CI-01,79.4
3435,07085726,EL-02,87.4
3436,07089515,MC-37,
3437,03096284,BS-52,97.3
3438,02092526,CI-01,77.6
3439,03038962,IF-32,72.2
3440,05023618,EE-61,82.4
3441,06074200,JS-09,61.6
3442,06011098,AC-03,67.7
3443,01039157,EL-27,82.4
3444,08015831,AC-03,83.2
3445,04049528,PY-05,89.6
3446,03020494,BS-52,88.2
3447,04041154,EP-06,50.4
3448,03051788,LW-26,80.0
3449,08058687,EP-09,75.1
3450,04041456,ER-22,78.0
3451,03073426,LW-26,86.5
3452,05089946,EL-04,68.5
3453,03018455,AC-03,74.9
3454,09056888,MC-37,61.9
3455,01029974,NC-11,89.8
3456,09026678,SA-06,85.0
3457,05094850,EG-03,76.0
3458,01016866,MC-20,100.0
3459,09011448,ML-05,69.0
3460,08057513,MT-21,79.3
3461,09046182,MG-01,93.3
3462,04097463,MM-02,78.3
3463,03067387,CN-05,68.2
3464,09077724,BS-16,
3465,02088469,EE-29,68.2
3466,09036831,PY-02,85.4
3467,02087213,EE-13,74.5
3468,05043784,IF-03,100.0
3469,07026477,MG-23,87.0
3470,01056301,SO-01,69.7
3471,03069590,CE-30,82.2
3472,06071819,EE-82,57.2
3473,09052483,BS-52,53.0
3474,01078443,PY-04,67.6
3475,02026771,AC-03,59.3
3476,07055707,CS-11,79.1
3477,08063533,MT-28,69.7
3478,04027154,EE-33,81.4
3479,05039512,AT-31,69.5
3480,08025229,PY-05,67.5
3481,02032606,MT-28,75.8
3482,04077368,EL-30,76.0
3483,07095121,MR-04,66.9
3484,01039157,MT-26,
3485,08087402,IT-44,75.3
3486,07047847,EE-40,65.4
3487,09048091,PY-01,59.8
3488,09056217,CN-01,
3489,01048560,MT-07,54.6
3490,07085726,MC-20,76.4
3491,03065566,CN-05,70.2
3492,09036831,AT-21,75.7
3493,08088921,EP-09,76.6
3494,08058316,BS-37,
3495,06090757,CS-11,85.1
3496,02058463,MG-81,67.4
3497,07086052,MM-10,66.3
3498,04093598,EN-26,71.4
3499,07095121,JP-20,96.5
3500,08044421,AT-36,93.6
3501,09038312,EM-31,70.6
3502,08024911,MC-37,86.5
3503,04073443,EG-65,74.3
3504,09078606,SO-01,56.4
3505,07067456,AT-31,79.2
3506,06042853,MT-07,
3507,02026422,EE-13,74.1
3508,05017131,NC-11,56.3
3509,08012361,JP-16,73.0
3510,05043784,FA-54,
3511,08012237,FA-54,
3512,05089598,EG-06,70.7
3513,09032856,RS-02,68.1
3514,02039248,JP-20,69.0
3515,08024911,MG-01,73.0
3516,07015650,EG-06,75.5
3517,05051413,BS-52,90.0
3518,03096637,MR-04,76.8
3519,07089515,AT-06,
3520,04023537,MC-20,70.5
3521,04077368,BS-16,84.8
3522,05023618,ML-05,80.3
3523,06078362,ML-05,96.4
3524,02034670,EG-27,73.7
3525,06013048,NE-01,78.6
3526,07035567,CN-01,75.9
3527,09089900,PY-05,67.8
3528,06028939,EL-30,72.6
3529,01029406,EL-30,68.1
3530,08065005,AT-31,85.8
3531,04093652,PY-36,60.8
3532,06040361,PY-01,80.3
3533,03067387,AT-06,77.0
3534,08071625,NE-01,58.8
3535,04087010,EE-86,70.8
3536,03034162,SA-06,52.3
3537,08069683,PY-36,61.0
3538,07073164,MT-21,91.1
3539,08064018,MC-20,69.9
3540,04081299,JS-09,69.3
3541,06078362,EL-27,79.8
3542,09099105,PY-49,75.3
3543,01012930,BS-31,
3544,07021581,EN-26,81.3
3545,09052483,AT-31,77.6
3546,09070260,ER-05,76.6
3547,02029103,IF-01,
3548,02045481,MC-37,
3549,03026173,EP-06,
3550,07013102,MC-09,75.6
3551,04017472,MM-93,83.0
3552,01044017,IF-32,
3553,06030334,BO-17,69.7
3554,02091878,EL-04,56.8
3555,06011980,JS-09,88.0
3556,07086528,MG-81,80.9
3557,03058780,MT-21,53.8
3558,01013510,BS-37,82.7
3559,01033386,EL-04,78.1
3560,04026586,ID-22,79.8
3561,01041920,ER-22,66.9
3562,03016320,JS-09,75.4
3563,03035342,EG-03,64.9
3564,04071030,PY-01,76.0
3565,01030135,CS-11,75.4
3566,05034855,EE-40,68.2
3567,02039236,AT-22,57.2
3568,06066040,CE-30,72.7
3569,08066942,EL-27,78.4
3570,08069683,NC-11,86.9
3571,05044897,IF-32,90.0
3572,07099042,JP-11,72.1
3573,07039838,EE-86,78.7
3574,02038271,EP-03,91.7
3575,09047890,CN-01,
3576,09030823,MC-18,75.1
3577,06011161,CI-10,72.7
3578,04037121,BS-16,72.6
3579,08095619,ID-04,77.4
3580,08023766,MC-37,
3581,05041925,MG-25,90.6
3582,06015406,EN-26,77.7
3583,09050005,EG-27,68.7
3584,05045131,MR-04,61.6
3585,09084646,CI-10,69.2
3586,03034162,IF-03,54.2
3587,06032799,AT-31,87.8
3588,03082243,ML-05,88.3
3589,02010978,MR-04,69.6
3590,05089598,JS-02,74.8
3591,01032709,JS-02,80.7
3592,02017610,ID-04,54.5
3593,02063649,EL-02,81.4
3594,09073348,AC-03,74.1
3595,07027376,RS-02,57.6
3596,04061598,MT-07,
3597,04018048,ER-22,79.2
3598,08096350,ER-01,81.8
3599,04027154,AC-24,76.7
3600,03094280,LT-01,91.9
3601,04031279,FR-05,86.4
3602,08076159,LW-32,68.3
3603,06022297,MC-20,77.5
3604,07071929,EE-13,74.2
3605,02072382,EL-27,68.6
3606,08044494,SA-01,88.7
3607,04056356,NE-01,62.3
3608,06083736,JS-02,57.5
3609,08099286,CS-13,80.0
3610,01030040,IF-03,65.3
3611,09054403,IF-03,70.6
3612,05047641,CN-01,66.0
3613,09063261,EG-03,
3614,07035348,EL-30,55.5
3615,04026664,MM-02,81.0
3616,03029047,AT-31,84.9
3617,07035901,EL-30,72.7
3618,09038312,BS-16,
3619,09094366,MC-20,71.8
3620,03049311,LW-32,81.7
3621,02039266,FA-54,98.1
3622,04087010,SA-01,76.8
3623,04097463,IF-01,74.3
3624,08094030,CI-01,81.0
3625,07069853,EL-02,69.5
3626,03028515,IS-01,64.3
3627,01016866,MM-10,85.1
3628,05090473,EL-02,78.2
3629,05037689,NC-11,76.0
3630,02072382,EP-08,71.0
3631,04039143,EP-06,56.5
3632,02031517,PY-23,81.7
3633,06048716,MM-66,71.1
3634,04057002,SO-55,85.8
3635,09053917,BS-16,70.8
3636,09099105,PY-02,67.4
3637,04026586,BS-23,82.8
3638,08096006,JP-20,69.9
3639,03016898,AS-40,75.9
3640,04051842,MT-21,59.7
3641,07066794,ER-01,78.5
3642,04099042,AC-03,72.0
3643,09038871,SO-55,83.2
3644,02017610,JS-09,77.4
3645,06091767,PY-23,70.7
3646,01075029,EE-13,79.1
3647,08052292,ER-22,62.1
3648,07011458,IS-14,62.6
3649,06069644,MM-10,86.2
3650,02078339,EE-40,64.8
3651,02090381,JP-16,71.1
3652,08065005,SA-06,75.5
3653,05090477,EP-09,75.6
3654,09078533,CE-30,75.4
3655,04077810,PY-38,66.0
3656,07083399,AT-21,
3657,02047674,AT-36,57.9
3658,05025057,MT-07,66.2
3659,08066942,IF-32,88.6
3660,07089515,MT-26,
3661,02040804,ML-05,84.2
3662,04031607,EE-82,65.5
3663,08095669,CN-05,64.1
3664,06033086,ER-01,
3665,09022743,LW-26,97.2
3666,07025848,EM-31,65.4
3667,08019001,CS-11,60.8
3668,07057240,AT-06,67.9
3669,09038312,PY-05,65.6
3670,09010136,EG-03,80.8
3671,04017472,LW-05,89.0
3672,05045131,BS-01,70.0
3673,03096284,MR-02,77.2
3674,05044897,JS-09,81.4
3675,08040073,EE-61,70.4
3676,02047881,MR-04,76.3
3677,04047306,PY-05,62.9
3678,09037045,CI-01,82.0
3679,01014586,EL-27,86.0
3680,09037159,ID-04,76.1
3681,03031113,MR-02,80.2
3682,05047495,PY-36,82.0
3683,08047813,EE-86,71.2
3684,08091839,BO-01,61.7
3685,09037159,MC-18,71.0
3686,04018490,RS-02,
3687,06037185,EG-06,
3688,03059404,EE-61,70.4
3689,01041037,EE-86,62.8
3690,07086528,PY-25,85.2
3691,08042228,MM-02,93.9
3692,01019846,EE-13,62.7
3693,05046008,BM-43,96.0
3694,09073539,EN-26,70.1
3695,03031972,NC-11,
3696,02039829,PY-04,72.2
3697,07048403,CN-01,
3698,07072522,EL-30,71.5
3699,02092526,EL-30,64.9
3700,02089645,JP-20,83.2
3701,04075338,BS-52,75.3
3702,01011219,MR-02,49.1
3703,05054668,JS-02,60.2
3704,02038305,PY-04,
3705,05016498,AC-24,94.2
3706,06014611,MR-04,90.6
3707,08096006,ID-22,81.8
3708,07067514,MM-10,71.5
3709,08089024,AC-20,84.2
3710,09046199,MM-25,75.8
3711,01015891,BS-16,
3712,07091634,PY-04,68.8
3713,07055667,EE-61,78.7
3714,09046182,EP-09,78.5
3715,02038267,PY-36,61.3
3716,08017749,MT-28,76.2
3717,02069863,EP-06,70.4
3718,04042506,EE-13,75.5
3719,08099286,LW-37,69.6
3720,08089628,CE-03,72.4
3721,02038550,EE-86,61.0
3722,08075498,MR-02,84.7
3723,06056744,PY-05,84.9
3724,04078544,LW-37,63.1
3725,06032530,EE-33,92.6
3726,02087288,IS-14,91.4
3727,07044421,EP-09,82.8
3728,07049295,LW-05,94.6
3729,05016498,FA-54,
3730,03079066,CE-30,80.0
3731,03043813,ID-22,93.6
3732,06077952,JP-16,75.8
3733,05031283,MR-02,70.9
3734,07082361,BS-52,95.8
3735,02046348,EG-03,67.8
3736,01078443,CN-01,78.0
3737,01070441,NC-11,71.3
3738,05025057,IF-32,
3739,01029974,BO-05,
3740,02038271,EL-27,79.4
3741,08012648,LT-01,
3742,01077992,JS-02,69.5
3743,04015900,EG-03,
3744,09041964,PY-05,71.7
3745,01078443,BS-52,80.3
3746,02021169,AT-36,
3747,07063569,JP-20,69.9
3748,04026586,AS-40,80.4
3749,01028781,BS-52,77.8
3750,03013598,JS-28,73.4
3751,09033010,ID-04,75.4
3752,02038271,ER-22,58.9
3753,01031476,ER-22,78.1
3754,09039273,MC-20,75.4
3755,09099086,MR-02,74.3
3756,01013510,CE-30,71.0
3757,07026477,MR-02,
3758,07057815,EP-09,81.6
3759,04057002,MC-20,67.0
3760,09064896,EP-08,65.4
3761,04074973,AC-20,54.5
3762,07067514,EL-30,72.0
3763,09052483,ER-01,83.2
3764,07015650,ID-04,88.6
3765,01070270,PY-23,90.2
3766,01033386,MG-01,76.7
3767,06035339,EP-06,86.1
3768,01091559,ER-01,67.5
3769,07095207,IS-01,69.2
3770,05098124,MM-66,72.0
3771,02074357,MC-20,60.1
3772,08076159,EE-86,90.8
3773,04064258,MT-01,
3774,06061345,EL-30,92.0
3775,06092000,IF-03,
3776,02088518,EP-08,73.1
3777,04078773,ML-05,75.1
3778,04078773,AC-20,78.4
3779,07064135,CI-10,77.4
3780,06087643,MG-13,82.4
3781,06027838,IS-14,84.1
3782,05023108,PY-23,84.0
3783,09037045,IS-14,100.0
3784,05029102,BO-05,69.8
3785,01070270,MC-18,80.4
3786,09012007,JS-28,75.6
3787,09087252,EL-02,77.4
3788,04015917,IS-01,86.9
3789,06084082,MM-02,
3790,03076790,MT-26,50.1
3791,05089946,MC-18,77.4
3792,04059565,EL-30,69.7
3793,09041073,EN-26,67.3
3794,03029810,EP-06,87.8
3795,07053617,MT-07,63.5
3796,05047633,EE-82,82.5
3797,08012648,MT-28,75.6
3798,04031471,EE-82,68.4
3799,05043293,MG-25,75.4
3800,05083282,BO-05,
3801,09050488,EE-86,68.8
3802,07096700,JP-16,78.1
3803,08083740,CS-11,63.2
3804,04090747,AS-40,86.3
3805,09073539,MM-25,
3806,01032974,CE-03,74.7
3807,06048702,JS-09,83.2
3808,09050054,EP-06,82.8
3809,04094849,LT-01,83.6
3810,07075265,SA-01,85.3
3811,02026771,JS-28,91.8
3812,03054575,EE-13,74.5
3813,03016898,MG-01,72.0
3814,05076597,CI-10,87.6
3815,05082521,SA-01,68.8
3816,06039491,IS-01,86.7
3817,01014586,JP-16,100.0
3818,08037976,BS-31,67.5
3819,08012237,MM-10,58.5
3820,04094849,EE-61,88.4
3821,09098316,MG-81,80.1
3822,04094849,MT-07,71.1
3823,05011079,ER-05,
3824,09088711,EL-04,70.7
3825,08038641,NE-01,
3826,06034255,MM-93,
3827,09096328,PY-38,62.1
3828,03069811,CN-01,
3829,04068686,BS-02,71.5
3830,09030823,MT-21,85.2
3831,08057513,JS-09,74.4
3832,09037045,CN-01,76.9
3833,05039512,PY-25,62.5
3834,04060585,AC-24,77.7
3835,01039157,MT-28,60.9
3836,05038778,MG-23,66.7
3837,04083011,CE-19,78.1
3838,01053959,MC-18,72.0
3839,03046688,MR-04,65.0
3840,08046279,JP-16,63.4
3841,07081403,PY-25,87.0
3842,03061607,NC-11,69.6
3843,07089515,IS-01,79.0
3844,04033242,MT-28,75.8
3845,02065177,EL-02,87.1
3846,07086494,ID-04,
3847,05017953,AT-36,89.3
3848,09064896,AC-24,
3849,08052127,EP-03,
3850,07052981,ML-05,
3851,09065956,PY-02,86.6
3852,08024443,MG-23,61.6
3853,02038271,IS-14,58.6
3854,04077368,AC-20,
3855,04031471,IT-44,69.6
3856,09049112,PY-04,65.6
3857,04057002,FR-05,64.3
3858,03069811,EP-08,77.3
3859,02094825,EG-03,81.7
3860,06057912,AS-40,80.1
3861,03013234,LW-05,68.6
3862,06055388,LW-05,67.9
3863,04055242,EG-27,81.5
3864,05017131,MM-25,84.5
3865,08082531,AT-36,62.5
3866,02067425,RS-02,64.5
3867,05068455,MR-04,96.0
3868,01048479,EP-06,
3869,09088711,EP-09,76.7
3870,06066376,FR-05,83.6
3871,01041353,BS-37,60.6
3872,09056217,BO-17,73.3
3873,06024137,EE-86,78.8
3874,03038962,ID-22,68.3
3875,01077079,SO-01,88.6
3876,01078246,JP-11,78.9
3877,09068313,EE-13,77.3
3878,06060492,MM-25,80.7
3879,09081739,MM-02,78.0
3880,08051571,ML-05,71.2
3881,08025469,EE-40,88.4
3882,02094575,IF-01,66.1
3883,07063569,LW-05,81.8
3884,02038271,EL-30,97.7
3885,01054955,PY-49,91.1
3886,04046201,AT-06,57.1
3887,05057135,IS-01,78.6
3888,06051375,MT-01,69.6
3889,02056761,MT-21,64.5
3890,01012603,AT-31,63.8
3891,08098256,BO-01,
3892,07024946,MM-66,87.0
3893,01030034,IS-14,89.4
3894,08048749,EE-61,90.5
3895,08020941,MT-28,75.3
3896,07021649,MT-26,76.3
3897,05035444,MG-23,65.3
3898,04070241,MT-26,
3899,09047945,PY-38,73.3
3900,09032856,PY-25,60.9
3901,01070270,NC-11,86.2
3902,09066586,MM-93,60.7
3903,06045346,CE-03,92.1
3904,09057515,MT-26,82.3
3905,02039266,EE-61,69.1
3906,04097463,MT-26,72.8
3907,01081707,EL-30,89.3
3908,08012237,CE-19,73.9
3909,04081824,MC-18,
3910,04068686,BS-37,85.9
3911,08036336,BO-17,80.7
3912,03033426,ID-04,83.8
3913,01048724,PY-49,
3914,02014568,MT-26,85.9
3915,07015108,MC-20,61.3
3916,09012007,CE-30,76.6
3917,07068305,ID-22,73.7
3918,08033279,IF-01,66.6
3919,05094278,MM-10,88.7
3920,05027472,BS-02,80.0
3921,01018475,SO-55,70.5
3922,04015917,BS-01,73.0
3923,04039143,PY-25,70.1
3924,06039491,CI-01,89.3
3925,09063201,PY-05,76.3
3926,02094825,EP-08,
3927,06040539,BS-23,79.1
3928,05023108,PY-01,73.7
3929,02043969,AC-24,48.4
3930,02039248,PY-49,79.1
3931,05016666,MM-25,72.1
3932,03027321,ML-05,64.7
3933,06064049,BS-16,73.1
3934,03060139,BS-52,77.7
3935,03043834,EM-31,74.8
3936,09016409,SO-55,
3937,08039991,JP-20,67.9
3938,02043969,PY-01,54.7
3939,08095619,PY-01,64.1
3940,09050247,MM-10,80.0
3941,05015919,EG-03,62.5
3942,01078813,MR-02,69.4
3943,05078938,JP-11,88.9
3944,06020005,MT-01,
3945,01032709,AT-36,
3946,08041727,AT-31,86.3
3947,02039266,AT-36,76.6
3948,08012648,FR-05,
3949,01019245,JS-02,62.0
3950,01018475,MR-02,80.2
3951,01012930,ID-04,71.1
3952,08058316,EP-08,86.6
3953,03069590,IF-32,81.1
3954,05085088,IF-03,64.1
3955,01029974,JP-20,69.0
3956,03064155,PY-23,
3957,09054403,SO-55,74.0
3958,09095184,ER-05,89.5
3959,09018279,RS-02,62.3
3960,05076597,MC-20,76.8
3961,05099534,EE-86,71.8
3962,02065177,JP-11,68.6
3963,03065566,BS-31,61.4
3964,04046201,AT-36,88.0
3965,08063228,EL-04,77.8
3966,03074454,BS-16,57.8
3967,03059651,PY-25,83.0
3968,03051788,BO-05,59.1
3969,07053547,RS-02,73.8
3970,01092141,MT-07,76.8
3971,06025929,MR-02,
3972,04026621,SO-01,83.1
3973,09015315,EM-31,78.9
3974,01031476,ML-05,67.9
3975,05060547,FA-54,67.3
3976,03013234,EP-06,88.6
3977,03035342,MC-09,77.6
3978,04073388,JP-16,76.7
3979,07024810,EP-09,65.1
3980,02098531,EN-26,65.9
3981,03017596,IS-14,62.2
3982,03041523,JS-09,79.9
3983,06011664,IF-03,67.1
3984,06011161,BS-37,61.7
3985,02014568,JP-16,85.4
3986,02063649,EL-30,82.3
3987,03082243,JP-26,72.4
3988,09087252,EP-08,71.7
3989,05089946,MG-25,83.4
3990,08046279,BO-17,68.0
3991,06092000,EG-06,64.7
3992,03027080,RS-02,84.6
3993,02024393,BO-17,66.5
3994,08045054,JP-16,63.6
3995,02049888,EE-33,
3996,05027472,MG-23,72.9
3997,06095862,MT-01,64.6
3998,05077134,EL-30,69.9
3999,08041727,MG-23,
4000,08042228,NC-11,64.0
4001,09062950,MG-25,73.1
4002,08088921,CI-01,99.3
4003,04041456,SA-01,85.5
4004,06020483,PY-36,88.9
4005,04053616,PY-38,78.0
4006,07053547,PY-25,63.6
4007,02067425,IF-01,
4008,05086009,EE-40,61.8
4009,03016898,MR-04,79.4
4010,07086528,NC-11,66.3
4011,07067578,EE-29,53.7
4012,07057815,EE-82,69.9
4013,07034554,CS-13,66.5
4014,08067720,MM-02,62.0
4015,09045686,MC-37,89.9
4016,01035477,BO-01,71.3
4017,01060027,EE-82,78.3
4018,09075190,LW-05,82.5
4019,02056761,EL-27,70.4
4020,08095619,LW-37,67.1
4021,02088469,MM-25,
4022,06057480,EE-40,78.9
4023,01029406,MT-07,75.3
4024,01051044,EP-09,70.8
4025,06054431,MC-18,
4026,06035339,LT-01,71.2
4027,08025469,CS-11,77.5
4028,01041723,MG-01,78.8
4029,01073626,JP-26,65.5
4030,01037434,AT-22,62.0
4031,02040804,LW-26,73.5
4032,03064742,MC-20,88.6
4033,04057002,CE-19,71.3
4034,07086487,AT-22,63.3
4035,01044180,JS-02,71.0
4036,05051413,ER-22,68.6
4037,03036158,MM-25,83.0
4038,09054403,CI-01,82.7
4039,04056711,JP-11,71.6
4040,08066984,EG-03,85.9
4041,08034773,EG-27,74.1
4042,03046688,PY-49,69.5
4043,05085088,MM-10,73.3
4044,01035125,JS-09,60.6
4045,02070650,PY-36,97.7
4046,02067425,NC-11,59.7
4047,09050488,JS-28,
4048,04074973,MC-20,77.8
4049,09015315,MT-28,78.7
4050,03012980,EP-03,68.8
4051,08010030,EL-04,72.8
4052,08072608,JS-09,82.1
4053,09099086,EG-06,
4054,08042737,BO-17,58.3
4055,01069558,EE-33,57.1
4056,08029061,IT-44,93.2
4057,06096451,ER-22,82.6
4058,03081604,AT-21,91.7
4059,08049761,EG-65,100.0
4060,05034855,BS-16,65.1
4061,06055426,IF-01,76.9
4062,07035901,EE-82,67.0
4063,08089024,IF-32,70.9
4064,07063955,AT-21,
4065,03053671,EP-09,82.0
4066,01035125,MT-21,68.3
4067,08019651,CS-11,70.1
4068,02047881,BS-52,60.0
4069,07064135,EG-06,89.5
4070,02027352,AC-03,
4071,07013102,AT-36,72.8
4072,02067073,IF-03,86.5
4073,02047674,NE-01,62.6
4074,03045296,JS-09,81.0
4075,02031517,EL-04,85.3
4076,03014967,EE-29,80.1
4077,04039454,BS-02,
4078,06036176,ER-01,
4079,04090747,BS-23,52.9
4080,06022297,IF-03,73.0
4081,07065210,AC-24,
4082,07030136,JS-09,68.4
4083,08070935,EN-26,65.5
4084,01092141,PY-05,74.5
4085,07065210,MM-02,95.1
4086,06050027,MM-10,69.3
4087,08028918,ID-04,71.8
4088,06044300,RS-02,70.0
4089,07026477,AT-21,65.7
4090,02089993,MM-02,61.5
4091,04018490,BO-05,66.5
4092,03023423,SO-55,73.1
4093,08019798,EE-29,78.5
4094,04033242,BO-01,69.1
4095,01078813,IS-14,76.0
4096,04051842,FR-05,
4097,09057515,LW-37,70.5
4098,02046191,MM-02,85.7
4099,08081931,EE-40,76.3
4100,09073348,MT-26,83.1
4101,02010978,CE-03,85.0
4102,03096637,AC-03,
4103,04034407,AC-24,67.5
4104,05041516,BM-43,69.9
4105,08066984,BM-02,60.6
4106,01077079,CS-13,90.4
4107,06086790,EG-06,76.4
4108,04031985,ID-22,70.7
4109,03031839,IT-44,
4110,08088780,AC-20,68.8
4111,06069280,EP-03,75.9
4112,07035901,BS-16,65.1
4113,02072687,MT-26,
4114,04059850,EL-30,57.2
4115,09047945,BO-05,61.1
4116,06042853,ID-22,81.2
4117,05083282,SA-01,63.3
4118,02030084,EE-29,100.0
4119,04015917,EL-02,58.8
4120,01013510,FA-54,
4121,09073348,MR-02,82.5
4122,06092000,CS-13,66.8
4123,06033086,BS-16,79.9
4124,06028939,CN-05,78.0
4125,09061064,MT-01,76.6
4126,08058687,MM-25,78.0
4127,08066942,AC-24,
4128,01071019,ID-04,72.3
4129,05034855,MM-25,81.2
4130,09097184,CI-10,75.3
4131,08051571,PY-38,86.1
4132,05064658,ER-05,65.5
4133,09050247,EG-65,72.3
4134,01012603,JS-09,82.3
4135,03094280,CS-13,94.6
4136,01032974,EE-61,79.7
4137,08039991,LW-37,69.1
4138,03069590,EP-08,88.0
4139,05011079,ML-05,
4140,04093652,MT-21,99.2
4141,09048091,MG-23,69.0
4142,02038267,AC-20,67.8
4143,04062691,PY-04,67.8
4144,01028180,CE-19,62.1
4145,02067425,LW-26,65.3
4146,09072324,AC-20,57.2
4147,04090401,BM-02,71.8
4148,05069060,EE-86,75.1
4149,03080165,MT-01,70.7
4150,09066586,EL-02,92.0
4151,06054254,MG-81,64.1
4152,03067387,IF-32,95.1
4153,08035677,RS-02,73.4
4154,08083557,EG-65,74.3
4155,07021649,NC-11,85.0
4156,05047633,IF-32,79.3
4157,02049888,IF-32,70.5
4158,06042853,SO-01,48.4
4159,08015831,EM-31,65.5
4160,05035444,PY-36,85.6
4161,05050351,EE-29,67.4
4162,07085931,FA-54,
4163,07083399,MC-37,70.9
4164,04029677,CI-10,
4165,08083557,RS-02,62.2
4166,09070915,MT-07,79.9
4167,01031983,BM-02,92.8
4168,04015900,PY-49,70.2
4169,02032606,AC-20,68.1
4170,05078938,AT-21,92.1
4171,01026524,JS-28,78.6
4172,08088921,SA-06,
4173,02066535,BS-01,68.6
4174,01078246,BS-31,
4175,04059895,EE-29,73.2
4176,08049761,EE-82,60.4
4177,05074742,EP-03,76.3
4178,07025848,BM-02,89.7
4179,03027080,JP-16,74.8
4180,07067456,MG-25,96.3
4181,08089024,MC-18,87.1
4182,05054668,BO-17,80.6
4183,08067720,IS-01,63.8
4184,02023143,PY-02,64.0
4185,02094825,BS-01,
4186,02095918,AT-06,71.1
4187,09073619,IT-44,100.0
4188,08093602,MM-66,62.4
4189,09027264,CS-11,69.1
4190,06066040,EP-09,56.3
4191,03076960,AT-36,75.4
4192,06042202,PY-02,78.4
4193,06019860,EG-27,
4194,07066663,EL-27,82.2
4195,01017285,SA-01,92.5
4196,02067073,AT-36,93.3
4197,09079115,EE-82,78.9
4198,05037689,EN-26,83.5
4199,05099534,EL-02,
4200,09011968,BS-52,76.1
4201,06083026,FA-54,58.2
4202,09092335,EM-31,73.8
4203,05085088,CN-01,69.1
4204,07015083,PY-25,70.0
4205,03093048,FA-54,70.8
4206,07063955,MG-13,72.7
4207,05030322,IS-01,75.1
4208,03064155,EE-40,
4209,08015831,CS-11,78.4
4210,01079386,CI-10,90.3
4211,08051948,AT-36,76.9
4212,04057002,JP-11,61.1
4213,04081824,JP-11,69.1
4214,06065382,MT-07,83.5
4215,02038145,MC-37,77.2
4216,03068513,ER-05,78.4
4217,05093783,EE-86,92.0
4218,02019266,ML-05,69.0
4219,06077371,CN-01,71.3
4220,06047810,EE-61,88.0
4221,03010600,IS-01,67.2
4222,01075029,MC-37,75.7
4223,02023976,ER-05,76.1
4224,07072056,IS-01,74.3
4225,04024533,BS-16,88.4
4226,08021001,PY-49,79.5
4227,05025057,AT-36,98.9
4228,06066040,ML-05,74.1
4229,08061960,MC-18,82.4
4230,04015900,AT-21,80.7
4231,08024586,JS-28,70.8
4232,04071030,AS-40,85.2
4233,02039533,EL-30,71.8
4234,05041925,JS-02,77.0
4235,06051375,BS-02,72.5
4236,08073526,MT-26,95.4
4237,02078339,EE-13,61.3
4238,04035790,MT-07,68.4
4239,03056662,AT-22,87.4
4240,04031279,CS-13,54.5
4241,08087260,PY-04,83.5
4242,09089900,BO-05,89.9
4243,08046693,EP-03,68.6
4244,06076543,EE-40,81.4
4245,05034915,EL-02,70.6
4246,01019245,MC-37,65.1
4247,06087558,BM-43,54.9
4248,01043271,EM-31,74.8
4249,07035567,EE-13,
4250,05085088,LW-05,62.7
4251,02039045,AT-22,75.5
4252,03065566,LW-37,74.4
4253,04015917,BS-52,92.5
4254,08070935,MC-20,87.0
4255,03012980,BS-16,72.2
4256,01011626,JP-11,84.1
4257,09038312,EG-65,64.4
4258,03068863,IF-01,62.4
4259,06014611,FA-54,74.1
4260,06061345,NC-11,77.2
4261,05079363,AC-24,51.8
4262,07099042,MT-28,71.7
4263,08017749,CI-01,53.7
4264,02043969,CS-11,68.8
4265,06054260,PY-49,64.8
4266,01013510,IS-01,77.7
4267,05063232,BM-02,71.4
4268,09027264,PY-36,63.9
4269,04045789,EE-82,77.4
4270,06076952,EG-27,68.3
4271,09056888,AC-20,66.1
4272,04049528,JS-28,69.3
4273,02040804,AT-36,60.3
4274,04097463,EG-03,65.2
4275,07089515,EE-82,65.3
4276,05089598,PY-25,85.0
4277,04094849,MT-28,76.5
4278,06070748,MT-07,59.2
4279,03033426,EE-61,66.8
